stopid,shortname,fullname,latitude,longitude,buses
5030,Boroimhe Estate,Boroimhe Estate,53.44455694,-6.231463056,"41X,41C,41B"
5031,Boroimhe Cherry,Boroimhe Cherry,53.44517389,-6.235,"41B,41C,41X"
5032,Dundrum Road,Dundrum Road,53.29546917,-6.246104167,"44,61"
5044,Seatown,Seatown,53.46078389,-6.209778889,"41D,43,41"
5045,Kilmacud Rd,Kilmacud Rd,53.28357694,-6.209171389,"47,116,11"
5046,Wyattville Road,Wyattville Road,53.24590611,-6.139296667,"84,84A,7"
5047,Wyattville Road,Wyattville Road,53.24581194,-6.140169722,"7,84A,84"
5051,Brehon Field Rd,Brehon Field Rd,53.27355694,-6.259733056,"16D,16"
5052,Brehon Field Rd,Brehon Field Rd,53.27202611,-6.254896111,"16,16D"
5053,Swords Road,Swords Road,53.41912889,-6.235458889,"16D,16,16C,33,41,41B,41D,41C"
5056,Lucan Road,Lucan Road,53.35751389,-6.402778889,"66,67,66A,66B,66E,25D,25B,25,25A"
5058,Ballyowen Rd,Ballyowen Rd,53.35089306,-6.422483056,"25A,25B"
5060,Dundaniel Road,Dundaniel Road,53.39716694,-6.224029167,27B
5061,Dundaniel Road,Dundaniel Road,53.39569639,-6.2248725,27B
5062,Strand Road,Strand Road,53.37913389,-6.102788056,"31A,31B"
5064,Dublin Rd,Dublin Rd,53.60593944,-6.183937222,33
5069,Donabate,Donabate,53.49150083,-6.139261389,"33,33D,33E"
5071,Cruiserath Rd,Cruiserath Rd,53.41096167,-6.376017222,40D
5072,Cruiserath Rd,Cruiserath Rd,53.40930944,-6.370845556,40D
5073,Swords Road,Swords Road,53.45063,-6.223535,"41B,41,41D,41X"
5074,Swords Road,Swords Road,53.45314611,-6.215958889,"41D,41,41B"
5075,Rathbeale Road,Rathbeale Road,53.45966611,-6.223566944,"41B,41,41X"
5076,Rathbeale Road,Rathbeale Road,53.46125389,-6.228356111,"41X,41,41B"
5077,Rathbeale Road,Rathbeale Road,53.46098694,-6.227263889,"41B,41,41X"
5078,Rathbeale Road,Rathbeale Road,53.45982194,-6.223691111,"41,41B"
5079,Dublin Rd,Dublin Rd,53.45301,-6.215591944,"41B,41,41D"
5081,Swords Road,Swords Road,53.44833,-6.179883889,"42,32X"
5082,Swords Road,Swords Road,53.44718889,-6.176488889,"32X,42"
5084,Drynam Road,Drynam Road,53.45198889,-6.210846111,43
5086,Drynam Road,Drynam Road,53.45048306,-6.204921944,43
5090,Bray Road,Bray Road,53.22170389,-6.12176,"155,145"
5091,Killarney Rd,Killarney Rd,53.18792389,-6.127397222,145
5092,Killarney Rd,Killarney Rd,53.18582861,-6.129059722,145
5096,Rathbeale Road,Rathbeale Road,53.47263611,-6.253535,41B
5097,New Street South,New Street South,53.33815194,-6.27268,49
5099,St. Luke's Avenue,St. Luke's Avenue,53.33898611,-6.2758,"56A,77A,77X,151,27"
